"","Year","Player","Salary","Pos","Age","G","GS","MP","PER","TS%","3PAr","FTr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","OWS","DWS","WS","WS/48","OBPM","DBPM","BPM","VORP","FG%","3P%","2P%","eFG%","FT%","ORB","DRB","AST","STL","BLK","TOV","PF","PTS","bpm","team_ts","tm_ts_w_o_plyr","defense","val_shot","offense","raw_spm","exp_bpm","truetalentbpm","truetalentvorp"
"1577",1993,"John Stockton*",0.15272033089405,"PG",30,82,82,34.9146341463415,21.3,0.584,0.208,0.408,2.6,6.7,4.7,49.8,3.5,0.5,20.1,19.9,7.2,3.4,10.6,0.177,4.3,-1,3.3,3.8,0.486,0.385,0.513,0.526,0.798,0.780487804878049,2.10975609756098,12.0365853658537,2.42682926829268,0.25609756097561,3.24390243902439,2.73170731707317,15.109756097561,3,0.549,0.544,1.73,0.75,-3.99,2.35,1.8,2.6,3.3
"13425",2015,"Danny Green",0.142857142857143,"SG",27,81,80,28.5432098765432,16.5,0.596,0.619,0.172,2.7,13.9,8.4,10.3,2.2,2.8,10.5,17.5,4,3.9,7.8,0.163,2.8,2.2,5,4.1,0.436,0.418,0.466,0.566,0.874,0.666666666666667,3.5679012345679,1.95061728395062,1.24691358024691,1.07407407407407,1.14814814814815,2.01234567901235,11.679012345679,5,0.555,0.55,1.38,0.16,3.04,3.5,1.2,3.2,3.8
"7857",2005,"Lonny Baxter",0.0150555151515152,"PF",26,4,0,9,-8,0.253,0,0.182,12.6,13.7,13.2,0,0,0,25.2,20.5,-0.2,0,-0.2,-0.266,-14.4,-6.2,-20.6,-0.2,0.273,0,0.273,0.273,0,1,1,0,0,0,1,2.5,1.5,-18.5,0.493,0.493,-2.87,-0.75,-6.77,-19.27,-5.7,-7.6,0
"6647",2003,"Jamal Mashburn",0.194457116788321,"SF",30,82,81,40.5,18,0.507,0.193,0.233,2.3,15.3,8.7,26.2,1.3,0.4,11.6,27.1,5.4,3.6,9,0.13,2.4,-0.4,2,3.3,0.422,0.389,0.43,0.46,0.848,0.804878048780488,5.26829268292683,5.63414634146341,1.01219512195122,0.207317073170732,2.80487804878049,2.39024390243902,21.609756097561,1.9,0.511,0.512,-1.13,0.23,-0.76,1.96,2.9,2.4,3.2
"2024",1994,"Jerome Kersey",0.226008519168128,"SF",31,78,6,16.3589743589744,14.5,0.481,0.017,0.288,10.6,17.9,14.1,8.5,2.7,2.4,10.7,18.9,1.1,2,3.2,0.119,-1.3,1.7,0.4,0.8,0.433,0.125,0.438,0.434,0.748,1.66666666666667,2.57692307692308,0.961538461538462,0.91025641025641,0.628205128205128,0.807692307692308,2.73076923076923,6.51282051282051,0.3,0.519,0.521,1.58,-0.18,0,-0.01,-1.9,-0.8,0.5
"2853",1996,"Craig Ehlo",0.0147765053564832,"SG",34,79,8,22.253164556962,13.7,0.526,0.374,0.174,4.2,13.4,8.6,12.8,2.6,0.4,14,18.9,1.5,1.8,3.3,0.09,-0.2,-0.3,-0.4,0.7,0.428,0.371,0.462,0.497,0.786,0.822784810126582,2.41772151898734,1.74683544303797,1.07594936708861,0.113924050632911,1.31645569620253,1.74683544303797,8.46835443037975,-0.4,0.534,0.534,0.5,0.04,0.66,-0.03,-0.9,-0.6,0.6
"13772",2015,"Omri Casspi",0.0428571428571429,"SF",26,67,19,21.134328358209,14.4,0.58,0.204,0.447,4.5,15.9,10.4,11.8,1.1,0.5,14.7,18.7,2,0.6,2.7,0.091,0,-1.3,-1.3,0.3,0.489,0.402,0.512,0.53,0.733,0.805970149253731,3.07462686567164,1.52238805970149,0.462686567164179,0.134328358208955,1.3134328358209,1.59701492537313,8.85074626865672,-1.3,0.542,0.539,-1.23,0.05,0.55,-1.29,-1.8,-1.5,0.1
"1729",1993,"Scottie Pippen*",0.195672923958002,"SF",27,81,81,38.5555555555556,19.2,0.51,0.07,0.264,7.3,16,11.5,24,2.9,1.6,14.2,23.9,3.8,4.8,8.6,0.132,2,2.3,4.3,5,0.473,0.237,0.491,0.482,0.663,2.50617283950617,5.16049382716049,6.25925925925926,2.1358024691358,0.901234567901235,3.03703703703704,2.7037037037037,18.641975308642,4.3,0.535,0.54,1.56,0.12,-2.15,4.55,3.2,3.8,4.2
"1360",1993,"Adam Keefe",0.0763601654470251,"PF",22,82,6,18.890243902439,13.6,0.564,0.003,0.63,11.8,19.5,15.5,7,1.8,0.7,17.2,15.5,1.9,1.4,3.3,0.102,-1.2,0.1,-1,0.4,0.5,0,0.501,0.5,0.7,2.08536585365854,3.18292682926829,0.975609756097561,0.695121951219512,0.195121951219512,1.21951219512195,2.3780487804878,6.60975609756098,-0.9,0.534,0.532,-0.3,-0.06,1.35,-0.6,-1.8,-1.4,0.2
"13179",2014,"Reggie Jackson",0.0349539364148101,"PG",23,80,36,28.4625,15.4,0.527,0.267,0.193,2.2,12.8,7.8,23.1,1.9,0.3,14.5,22.6,2.3,2.6,4.9,0.104,0.1,-0.5,-0.4,0.9,0.44,0.339,0.477,0.485,0.893,0.5375,3.375,4.1375,1.0625,0.1125,2.1,1.775,13.0875,-0.2,0.567,0.572,-0.32,0.09,-2.65,-0.85,1.2,0.3,1.3
"9888",2009,"Chris Duhon",0.10453726169844,"PG",26,79,78,36.7848101265823,12.2,0.569,0.477,0.307,1.6,7.8,4.6,27.9,1.2,0.2,22.2,14.9,3.1,1,4.2,0.069,0.1,-1.5,-1.4,0.4,0.421,0.391,0.449,0.515,0.856,0.569620253164557,2.54430379746835,7.16455696202532,0.911392405063291,0.0886075949367089,2.79746835443038,1.59493670886076,11.1392405063291,-4.8,0.543,0.543,-0.88,-0.03,-1.09,-4.32,-3.3,-4,0
"10944",2011,"Al Jefferson",0.241196333815726,"C",26,82,82,35.8536585365854,20.1,0.528,0,0.219,9.6,23.2,16.3,9.2,0.8,4.2,6.8,24.2,5.1,2.7,7.8,0.128,0,0.1,0.1,1.5,0.496,0,0.496,0.496,0.761,2.86585365853659,6.81707317073171,1.81707317073171,0.560975609756098,1.86585365853659,1.28048780487805,2.90243902439024,18.6341463414634,-0.2,0.544,0.547,0.41,-0.16,-0.75,1.02,1.4,0.7,1.6
"8400",2006,"Kobe Bryant",0.333466641573351,"SG",27,80,80,40.9625,28,0.559,0.238,0.377,2.6,12.7,7.6,24.1,2.4,0.7,9,38.7,11.6,3.7,15.3,0.224,7.3,-1.5,5.8,6.5,0.45,0.347,0.482,0.491,0.85,0.8875,4.425,4.5,1.8375,0.375,3.125,2.9125,35.4,5.4,0.539,0.529,0.63,0.27,2.26,6.33,3.1,4.6,4.8
"4932",2000,"Anfernee Hardaway",0.285352112676056,"SG",28,60,60,37.55,17.9,0.549,0.128,0.358,4.6,12.4,8.6,22.8,2.1,1.2,14.2,21.1,4.2,3.6,7.8,0.165,1.8,1.7,3.6,3.2,0.474,0.324,0.496,0.494,0.79,1.51666666666667,4.26666666666667,5.25,1.56666666666667,0.633333333333333,2.55,2.73333333333333,16.9166666666667,3.4,0.532,0.53,0.34,0.2,-0.67,3.1,2.7,3.1,3.7
"11903",2012,"Leandro Barbosa",0.0211779856660464,"SG",29,64,0,21.59375,14,0.512,0.267,0.195,2.8,7.9,5.3,13.3,2.2,0.4,12,26.5,0.5,1.2,1.7,0.06,0,-2,-2,0,0.425,0.382,0.441,0.476,0.815,0.515625,1.484375,1.5,0.875,0.109375,1.46875,2.109375,11.0625,-2.1,0.518,0.518,-0.17,0.02,-0.61,-2.33,-1.8,-2,0
"7662",2005,"David Wesley",0.102424242424242,"SG",34,80,79,34.675,11.8,0.513,0.375,0.225,1.6,8,4.8,16.5,1.9,0.3,10.9,17.5,2.3,2.8,5.2,0.089,0.3,0.1,0.4,1.6,0.398,0.375,0.411,0.468,0.857,0.475,2.375,3.3125,1.2,0.1125,1.4125,2.6875,11.85,1.5,0.535,0.535,-0.45,0.11,1.62,0.34,1.8,1.6,2.6
"3492",1997,"Felton Spencer",0.0809702230483271,"C",29,73,65,21.3424657534247,9.2,0.524,0,0.567,11.9,19.8,15.8,2.1,1.1,2.5,19.9,12.7,0.4,0.9,1.3,0.04,-3.4,-0.6,-4,-0.8,0.489,0,0.489,0.489,0.584,2.15068493150685,3.54794520547945,0.301369863013699,0.465753424657534,0.684931506849315,1.20547945205479,3.76712328767123,5.0958904109589,-3.8,0.543,0.544,-0.26,-0.29,1.5,-3.64,-2,-3.1,-0.1
"5800",2001,"P.J. Brown",0.150701176470588,"C",31,80,79,35.1375,13.3,0.518,0.007,0.373,10.5,19.6,15.1,7.3,1.5,2.4,14.2,12.5,3.4,4.7,8,0.137,-1.3,2.8,1.5,2.5,0.444,0,0.447,0.444,0.852,3.2125,6.0625,1.5875,0.975,1.15,1.35,3.25,8.45,1.5,0.506,0.505,0.19,-0.11,1.67,2.13,1.7,1.6,2.6
"3100",1996,"Marty Conlon",0.049255017854944,"C",28,74,1,12.9459459459459,12.2,0.526,0.092,0.336,7.3,15.5,11.3,11.7,1.1,0.9,17.4,21.7,0.1,0.5,0.6,0.028,-2.6,-1.7,-4.3,-0.6,0.468,0.167,0.498,0.476,0.764,0.783783783783784,1.60810810810811,0.918918918918919,0.27027027027027,0.148648648648649,1.06756756756757,1.7027027027027,5.33783783783784,-4,0.534,0.535,-1.12,-0.06,-1.32,-3.94,-3.7,-4,0
